,Date,Precipitation (mm)
317,2010-01-01,3.7058334350585938
241,2010-01-02,8.620166778564453
199,2010-01-03,0.42133331298828125
192,2010-01-04,0.003833333340783914
65,2010-01-05,1.2138333320617676
85,2010-01-06,2.1475000381469727
86,2010-01-07,2.2124999364217124
50,2010-01-08,0.0
277,2010-01-09,0.0
68,2010-01-10,2.3416665395100913
244,2010-01-11,0.0
239,2010-01-12,0.0
63,2010-01-13,0.0
319,2010-01-14,0.0
315,2010-01-15,0.0
228,2010-01-16,0.0
259,2010-01-17,0.0
72,2010-01-18,0.0
83,2010-01-19,4.045833269755046
127,2010-01-20,8.197666803995768
39,2010-01-21,0.562999963760376
77,2010-01-22,6.9116668701171875
295,2010-01-23,7.577333450317383
205,2010-01-24,13.96933364868164
358,2010-01-25,5.5180002848307295
361,2010-01-26,1.85450013478597
22,2010-01-27,0.4274999698003133
264,2010-01-28,0.038333334028720856
302,2010-01-29,0.0
252,2010-01-30,0.0
272,2010-01-31,4.230166435241699
89,2010-02-01,19.795501708984375
37,2010-02-02,3.171833356221517
343,2010-02-03,0.0
214,2010-02-04,0.26499998569488525
38,2010-02-05,0.0
303,2010-02-06,6.066500345865886
185,2010-02-07,2.503666559855143
165,2010-02-08,0.0
292,2010-02-09,0.0
157,2010-02-10,0.0
54,2010-02-11,0.003000000181297461
97,2010-02-12,2.6943333943684897
114,2010-02-13,6.630333582560222
118,2010-02-14,8.27816645304362
49,2010-02-15,0.5295000076293945
117,2010-02-16,1.4750000635782878
133,2010-02-17,0.0
25,2010-02-18,0.0
66,2010-02-19,0.0
340,2010-02-20,0.0
1,2010-02-21,0.033333333830038704
267,2010-02-22,0.0
26,2010-02-23,0.0
189,2010-02-24,1.5890000661214192
98,2010-02-25,6.595333735148112
310,2010-02-26,0.00016666667458290854
308,2010-02-27,0.013999999811251959
13,2010-02-28,0.0
129,2010-03-01,0.0
18,2010-03-02,0.0
263,2010-03-03,1.3668333689371746
193,2010-03-04,0.4208333492279053
119,2010-03-05,3.1834999720255532
81,2010-03-06,1.8796666463216145
138,2010-03-07,0.0
11,2010-03-08,1.293333371480306
329,2010-03-09,0.0
211,2010-03-10,0.0
219,2010-03-11,0.0003333333491658171
217,2010-03-12,0.0
141,2010-03-13,0.0023333334053556123
221,2010-03-14,3.9378331502278647
94,2010-03-15,0.0003333333491658171
268,2010-03-16,0.0
2,2010-03-17,0.0
196,2010-03-18,0.0
279,2010-03-19,0.0
101,2010-03-20,0.8811666965484619
19,2010-03-21,1.3484999338785808
243,2010-03-22,0.020499999324480694
0,2010-03-23,4.8016665776570635
14,2010-03-24,0.001833333323399226
111,2010-03-25,0.0
180,2010-03-26,0.0
261,2010-03-27,5.345832824707031
331,2010-03-28,0.0
206,2010-03-29,0.0
337,2010-03-30,1.6426666577657063
236,2010-03-31,4.719499905904134
95,2010-04-01,13.297833760579428
136,2010-04-02,4.087833404541016
269,2010-04-03,6.3108336130778
60,2010-04-04,10.890666961669922
171,2010-04-05,5.4589996337890625
286,2010-04-06,19.299001057942707
271,2010-04-07,7.9741668701171875
220,2010-04-08,0.020333333561817806
74,2010-04-09,0.0
93,2010-04-10,0.0
231,2010-04-11,0.0003333333491658171
120,2010-04-12,0.0
64,2010-04-13,4.1824995676676435
45,2010-04-14,8.723166783650717
207,2010-04-15,0.0
353,2010-04-16,0.0
57,2010-04-17,0.0
149,2010-04-18,0.0
201,2010-04-19,0.0
294,2010-04-20,0.0
360,2010-04-21,0.0
322,2010-04-22,2.94266668955485
204,2010-04-23,1.0240000089009602
33,2010-04-24,0.3103333314259847
230,2010-04-25,0.0
265,2010-04-26,0.0
71,2010-04-27,0.0
156,2010-04-28,1.3170000712076824
224,2010-04-29,9.075499852498373
321,2010-04-30,6.729499816894531
87,2010-05-01,7.147666931152344
10,2010-05-02,7.170499801635742
326,2010-05-03,0.0503333310286204
100,2010-05-04,0.0
250,2010-05-05,0.0
96,2010-05-06,4.970999717712402
82,2010-05-07,0.9271667003631592
346,2010-05-08,0.0
173,2010-05-09,0.0
123,2010-05-10,0.0
281,2010-05-11,6.046833674112956
232,2010-05-12,16.856333414713543
