Station ID,State,Network,Station Name,Latitude,Longitude,Elevation,HUC2 (2-digit),HUC2 Name,HUC4 (4-digit),HUC4 Name,HUC6 (6-digit),HUC6 Name,HUC8 (8-digit),HUC8 Name,HUC10 (10-digit),HUC10 Name,HUC12 (12-digit),HUC12 Name,Report Time Zone (Offset from GMT),Start Date,End Date
301,CA,SNOTEL,Adin Mtn,41.23583,-120.79192,6190,18,California Region,1802,Sacramento,180200,Upper Sacramento,18020002,Upper Pit,1802000214,Cottonwood Creek-Ash Creek,1.80E+11,Cottonwood Creek,-8,10/1/1983,1/1/2100
907,UT,SNOTEL,Agua Canyon,37.52217,-112.27118,8900,16,Great Basin Region,1603,Escalante Desert-Sevier Lake,160300,Escalante Desert-Sevier Lake,16030002,East Fork Sevier,1603000203,Upper East Fork Sevier River,1.60E+11,East Fork Sevier River Headwaters,-8,10/1/1994,1/1/2100
916,MT,SNOTEL,Albro Lake,45.59723,-111.95902,8300,10,Missouri Region,1002,Missouri Headwaters,100200,Missouri Headwaters,10020005,Jefferson,1002000507,Willow Creek,1.00E+11,South Willow Creek,-8,9/1/1996,1/1/2100
908,WA,SNOTEL,Alpine Meadows,47.77957,-121.69847,3500,17,Pacific Northwest Region,1711,Puget Sound,171100,Puget Sound,17110010,Snoqualmie,1711001005,Tolt River,1.71E+11,Upper North Fork Tolt River,-8,9/1/1994,1/1/2100
302,OR,SNOTEL,Aneroid Lake #2,45.21328,-117.19258,7400,17,Pacific Northwest Region,1706,Lower Snake,170601,Lower Snake,17060105,Wallowa,1706010501,Upper Wallowa River,1.71E+11,West Fork Wallowa River-Wallowa River,-8,10/1/1980,1/1/2100
1000,OR,SNOTEL,Annie Springs,42.87007,-122.16518,6010,18,California Region,1801,Klamath-Northern California Coastal,180102,Klamath,18010203,Upper Klamath Lake,1801020301,Wood River,1.80E+11,Upper Annie Creek,-8,9/1/2000,1/1/2100
303,CO,SNOTEL,Apishapa,37.33062,-105.06749,10000,11,Arkansas-White-Red Region,1102,Upper Arkansas,110200,Upper Arkansas,11020006,Huerfano,1102000604,Upper Cucharas River,1.10E+11,Middle Creek-Cucharas River,-8,10/1/1979,1/1/2100
1030,CO,SNOTEL,Arapaho Ridge,40.35098,-106.38142,10960,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000106,Troublesome Creek-Colorado River,1.40E+11,Rabbit Ears Creek-Troublesome Creek,-8,8/1/2002,1/1/2100
304,OR,SNOTEL,Arbuckle Mtn,45.19085,-119.25392,5770,17,Pacific Northwest Region,1707,Middle Columbia,170702,John Day,17070202,North Fork John Day,1707020206,Lower Camas Creek,1.71E+11,Upper Fivemile Creek,-8,10/1/1978,1/1/2100
306,ID,SNOTEL,Atlanta Summit,43.7569,-115.23907,7580,17,Pacific Northwest Region,1705,Middle Snake,170501,Middle Snake-Boise,17050111,North and Middle Forks Boise,1705011102,Queens River-Middle Fork Boise River,1.71E+11,Bald Mountain Creek-Middle Fork Boise River,-8,10/1/1978,1/1/2100
307,MT,SNOTEL,Badger Pass,48.13088,-113.02317,6900,10,Missouri Region,1003,Missouri-Marias,100302,Marias,10030201,Two Medicine,1003020102,Badger Creek,1.00E+11,North Badger Creek,-8,10/1/1968,1/1/2100
308,AZ,SNOTEL,Baker Butte,34.4566,-111.40643,7300,15,Lower Colorado Region,1506,Salt,150602,Verde,15060203,Lower Verde,1506020302,East Verde River,1.51E+11,Pine Creek,-8,10/1/1965,1/1/2100
1140,AZ,SNOTEL,Baker Butte Smt,34.45547,-111.38272,7700,15,Lower Colorado Region,1506,Salt,150602,Verde,15060203,Lower Verde,1506020301,West Clear Creek,1.51E+11,Toms Creek,-8,5/18/2009,1/1/2100
309,WY,SNOTEL,Bald Mtn.,44.8007,-107.84442,9380,10,Missouri Region,1008,Big Horn,100800,Big Horn,10080010,Big Horn Lake,1008001005,Crooked Creek,1.01E+11,Commissary Creek-Crooked Creek,-8,10/1/1975,1/1/2100
310,AZ,SNOTEL,Baldy,33.97883,-109.50344,9125,15,Lower Colorado Region,1502,Little Colorado,150200,Little Colorado,15020001,Little Colorado Headwaters,1502000102,South Fork Little Colorado River-Little Colorado River,1.50E+11,Hall Creek-Little Colorado River,-8,11/1/1949,1/1/2100
311,MT,SNOTEL,Banfield Mountain,48.5712,-115.44573,5600,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170101,Kootenai,17010101,Middle Kootenai,1701010112,Bristow Creek-Kootenai River,1.70E+11,Bristow Creek,-8,10/1/1968,1/1/2100
312,ID,SNOTEL,Banner Summit,44.30342,-115.23447,7040,17,Pacific Northwest Region,1705,Middle Snake,170501,Middle Snake-Boise,17050120,South Fork Payette,1705012002,Canyon Creek-South Fork Payette River,1.71E+11,Canyon Creek,-8,10/1/1979,1/1/2100
