month,y,x,SNEQV
1,356499.65625,-1196499.125,88.70448262678511
2,356499.65625,-1196499.125,82.50520034446753
3,356499.65625,-1196499.125,33.728235473264355
4,356499.65625,-1196499.125,4.017102332586761
5,356499.65625,-1196499.125,0.16885080896768598
6,356499.65625,-1196499.125,0.011761363811621612
7,356499.65625,-1196499.125,0.0
8,356499.65625,-1196499.125,0.0
9,356499.65625,-1196499.125,0.0063541667613511285
10,356499.65625,-1196499.125,0.3199321895180942
11,356499.65625,-1196499.125,9.078948998923243
12,356499.65625,-1196499.125,47.15069718353855
